"Grupo de edad (años)","Total","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","SEXO","AÑO"
"Total","1,426,582","123,030","66,915","90,417","113,113","85,451","83,865","112,134","106,508","81,816","79,581","89,555","99,162","107,341","102,439","85,255","Hombre","2015"
"0-4","108,023","8,902","3,819","6,405","10,301","5,797","5,806","9,568","11,768","6,465","5,743","6,041","7,305","7,635","6,518","5,950","Hombre","2015"
"5-9","105,680","7,939","3,568","6,198","10,183","5,868","5,545","9,274","11,335","6,865","6,192","6,603","7,002","6,956","5,957","6,195","Hombre","2015"
"10-14","99,209","7,592","3,347","5,858","10,054","5,384","4,955","8,764","10,616","6,658","5,488","6,390","6,402","6,446","5,523","5,732","Hombre","2015"
"15-19","94,542","7,654","4,005","5,626","8,996","5,262","4,770","8,086","9,369","5,845","5,426","5,779","6,079","6,237","5,819","5,589","Hombre","2015"
"20-24","101,659","10,469","6,368","7,184","8,367","5,870","5,090","7,990","8,476","5,317","5,054","5,492","5,966","6,584","7,763","5,669","Hombre","2015"
"25-29","114,348","11,934","6,728","8,179","8,662","7,213","6,351","8,458","8,361","5,591","5,547","6,313","7,186","7,993","9,180","6,652","Hombre","2015"
"30-34","115,593","10,983","5,435","7,938","8,377","7,531","7,122","8,353","7,532","5,853","5,862","6,763","8,490","8,933","9,079","7,342","Hombre","2015"
"35-39","113,058","10,054","4,707","7,374","8,454","7,056","7,151","8,551","7,489","6,226","6,079","7,081","8,376","9,146","8,326","6,988","Hombre","2015"
"40-44","100,781","8,787","4,041","6,640","7,923","6,265","6,098","7,566","6,853","5,874","5,517","6,480","7,190","7,921","7,448","6,178","Hombre","2015"
"45-49","82,119","7,084","3,509","5,244","5,986","5,045","5,107","6,182","5,131","4,641","4,868","5,585","6,075","6,489","5,927","5,246","Hombre","2015"
"50-54","75,390","6,640","3,396","4,590","5,384","4,713","4,895","5,699","4,322","4,328","4,651","5,312","5,612","5,836","5,420","4,592","Hombre","2015"
"55-59","72,336","6,113","3,615","4,601","5,173","4,441","4,784","5,446","3,809","4,155","4,405","4,888","5,224","5,658","5,519","4,505","Hombre","2015"
"60-64","64,734","5,313","3,625","3,840","4,193","3,961","4,301","4,818","3,131","3,744","3,992","4,426","4,817","5,485","5,107","3,981","Hombre","2015"
"65-69","56,648","4,552","3,425","3,340","3,564","3,427","3,717","4,182","2,759","3,204","3,258","3,924","4,285","4,953","4,753","3,305","Hombre","2015"
"70-74","45,576","3,428","2,678","2,706","2,971","2,786","2,915","3,415","2,313","2,650","2,797","3,045","3,384","4,016","3,761","2,711","Hombre","2015"
"75-79","33,294","2,343","1,916","1,987","2,145","2,076","2,238","2,521","1,650","1,989","2,073","2,335","2,504","2,875","2,609","2,033","Hombre","2015"
"80 y más","43,592","3,243","2,733","2,707","2,380","2,756","3,020","3,261","1,594","2,411","2,629","3,098","3,265","4,178","3,730","2,587","Hombre","2015"
"Total","1,627,685","127,740","83,070","101,958","124,656","101,061","100,498","127,463","118,262","88,271","90,456","100,370","114,056","128,325","124,382","97,117","Mujer","2015"
"0-4","101,860","8,134","3,384","5,760","9,648","5,434","5,586","8,883","11,594","6,057","5,493","5,728","7,046","7,019","6,372","5,722","Mujer","2015"
"5-9","99,937","7,451","3,282","5,594","9,830","5,355","5,399","8,916","11,199","6,284","5,688","6,275","6,796","6,530","5,670","5,668","Mujer","2015"
"10-14","95,386","7,186","3,139","5,430","9,692","5,183","4,811","8,551","10,650","6,004","5,671","5,810","6,201","6,016","5,410","5,632","Mujer","2015"
"15-19","93,774","7,367","4,449","5,527","9,007","5,145","4,765","7,937","9,782","5,672","5,179","5,561","5,866","5,990","6,262","5,265","Mujer","2015"
"20-24","104,551","9,921","7,723","7,361","8,314","6,011","5,361","8,170","8,944","5,064","5,112","5,160","5,871","6,994","8,907","5,638","Mujer","2015"
"25-29","120,145","11,558","7,759","8,257","8,858","7,733","7,008","8,759","8,497","5,537","5,637","6,171","7,721","9,168","10,519","6,963","Mujer","2015"
"30-34","121,628","9,988","6,073","7,745","9,066","8,077","7,889","8,981","8,041","5,785","6,100","6,912","9,137","10,172","10,006","7,656","Mujer","2015"
"35-39","119,149","9,555","5,112","7,615","8,828","7,798","7,840","8,792","8,069","6,219","6,373","7,272","8,972","10,138","9,244","7,322","Mujer","2015"
"40-44","109,121","8,583","4,761","6,850","8,298","6,867","6,895","8,414","7,476","5,966","6,112","7,100","7,761","8,875","8,371","6,792","Mujer","2015"
"45-49","92,461","7,149","4,301","5,870","6,816","5,809","5,913","7,104","5,893","5,054","5,444","6,062","6,744","7,401","6,974","5,927","Mujer","2015"
"50-54","88,576","6,729","4,442","5,505","6,311","5,714","5,990","6,921","4,943","4,669","5,296","5,868","6,566","7,307","6,816","5,499","Mujer","2015"
"55-59","89,797","6,735","4,940","5,676","6,057","5,938","6,042","6,731","4,686","4,724","5,330","6,011","6,466","7,655","7,308","5,498","Mujer","2015"
"60-64","85,013","6,225","4,983","5,401","5,393","5,599","5,816","6,234","4,386","4,391","4,788","5,593","6,271","7,598","7,160","5,175","Mujer","2015"
"65-69","79,293","5,708","4,768","5,053","5,056","5,256","5,313","5,733","4,014","4,301","4,476","5,152","5,776","7,214","6,764","4,709","Mujer","2015"
"70-74","69,286","4,752","4,186","4,374","4,338","4,534","4,747","5,102","3,555","3,848","4,123","4,633","5,140","5,993","5,806","4,155","Mujer","2015"
"75-79","57,281","3,859","3,184","3,656","3,517","3,674","3,802","4,357","2,795","3,366","3,547","3,963","4,349","5,074","4,659","3,479","Mujer","2015"
"80 y más","100,427","6,840","6,584","6,284","5,627","6,934","7,321","7,878","3,738","5,330","6,087","7,099","7,373","9,181","8,134","6,017","Mujer","2015"
"Total","1,430,531","124,045","66,870","90,614","113,518","85,640","84,068","112,527","107,199","82,045","79,688","89,599","99,433","107,484","102,515","85,286","Hombre","2016"
"0-4","107,662","8,925","3,795","6,380","10,275","5,772","5,780","9,542","11,780","6,440","5,711","6,001","7,274","7,592","6,482","5,913","Hombre","2016"
"5-9","105,089","7,941","3,538","6,161","10,136","5,830","5,508","9,228","11,322","6,823","6,145","6,545","6,957","6,901","5,911","6,143","Hombre","2016"
"10-14","100,984","7,774","3,399","5,960","10,244","5,475","5,039","8,926","10,854","6,773","5,574","6,483","6,511","6,546","5,609","5,817","Hombre","2016"
"15-19","93,832","7,642","3,964","5,582","8,937","5,219","4,729","8,029","9,341","5,798","5,374","5,717","6,029","6,176","5,763","5,532","Hombre","2016"
"20-24","100,772","10,440","6,294","7,118","8,302","5,815","5,040","7,926","8,440","5,267","4,999","5,427","5,910","6,512","7,678","5,604","Hombre","2016"
"25-29","111,917","11,751","6,567","8,002","8,487","7,055","6,211","8,284","8,221","5,470","5,418","6,160","7,029","7,806","8,966","6,490","Hombre","2016"
"30-34","115,724","11,063","5,427","7,944","8,396","7,535","7,124","8,370","7,576","5,858","5,858","6,751","8,495","8,925","9,071","7,331","Hombre","2016"
"35-39","113,211","10,130","4,701","7,383","8,475","7,062","7,155","8,570","7,534","6,233","6,076","7,069","8,383","9,140","8,321","6,979","Hombre","2016"
