Nombre,Score,Reviews,Descripcion,Direccion,CLASE
PLAZOLETA COMANDANTE TOTI,5.0,5.0,PARQUE,AV. SAN ISIDRO LABRADOR 4726,PLAZOLETAS
PLAZOLETA PAUL P. HARRIS,5.0,4.0,JARDIN,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA SIN NOMBRE,5.0,2.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
CORREDOR SALUDABLE PERITO MORENO,5.0,2.0,,,
PLAZOLETA DE SAN TELMO,5.0,1.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
PLAZOLETA QUIROGA,5.0,1.0,PARQUE,AV. DEL LIBERTADOR 6851,PLAZOLETAS
ENRIQUE BANCHS,5.0,1.0,PARQUE,"AV. SAN ISIDRO LABRADOR 4100-4012, C1429ADO",PLAZOLETAS
ING. AGR. BENITO J. CARRASCO,5.0,1.0,,,
PREDIO VILLA OLIMPICA (NO OFICIAL),5.0,1.0,,,
JARDIN DE LA PLAZA,4.9,13.0,PLAZA,DESAGUADERO 3441,JARDINES
JOSE SOLDATI,4.8,17.0,PARQUE,VILLA SOLDATI,PLAZOLETAS
EL ROSEDAL (PLAZA HOLANDA),4.7,34003.0,,,
LAGO DE REGATAS ERNESTO JAIMOVICH,4.7,238.0,,,
PLAZOLETA ENRIQUE SUSINI,4.7,3.0,PARQUE ESTATAL,AV. ANGEL GALLARDO 1089,PLAZOLETAS
PLAZA 25 DE MAYO,4.6,80412.0,,,
CARLOS THAYS (JARDIN BOTANICO),4.6,34705.0,,,
PLAZA ARENALES,4.6,22746.0,,,
PARQUE DE LA MEMORIA,4.6,10059.0,,,
CNEL. JORDAN C. WYSOCKI,4.6,7259.0,,,
BARRANCAS DE BELGRANO,4.6,6858.0,PARQUE,MARISCAL ANTONIO JOSE DE SUCRE 1683-1743,PLAZOLETAS
MICAELA BASTIDAS,4.6,6180.0,,,
PARQUE DE LAS CIENCIAS,4.6,1545.0,,,
PARQUE ELCANO DE CHACARITA (NO OFICIAL),4.6,652.0,,,
PLAZOLETA ENRIQUE PICHON RIVIERE,4.6,540.0,PARQUE,CERRADO TEMPORALMENTE,PLAZOLETAS
