nombre,clasificac,ubicacion,barrio,comuna,area,perimeter,Score,Reviews,Descripcion,Direccion,CLASE
,PLAZOLETA,"CONDE - MATIENZO, BENJAMIN, TTE. - FREIRE, RAMON, CAP. GRAL.",COLEGIALES,13.0,3.984,0.0,,,,,
,PLAZOLETA,"GUIRALDES, INTENDENTE - ESTACIONAMIENTO - PARQUE BALNEARIO NORTE - ESTACIONAMIENTO",BELGRANO,13.0,3746.965,100.0,,,,,
,PLAZOLETA,"DEL LIBERTADOR, AV. - SARMIENTO, AV. (FRENTE MONUMENTO A LOS ESPA¤OLES)",PALERMO,14.0,28.385,2.0,,,,,
,PLAZOLETA,"DEL LIBERTADOR, AV. - SARMIENTO, AV. (FRENTE MONUMENTO A LOS ESPA¤OLES)",PALERMO,14.0,47.483,9997.0,,,,,
,CANTERO CENTRAL,"RUIZ, HUIDOBRO AV. E/ MILLER Y BALBIN, RICARDO, DR., AV.",SAAVEDRA,12.0,26.654,0.0,,,,,
,PLAZOLETA,"BALBIN, RICARDO, DR., AV. - FOREST, AV. - JARAMILLO",SAAVEDRA,12.0,116.91,0.0,,,,,
,CANTERO CENTRAL,"SAN JUAN BAUTISTA DE LA SALLE,  E/ PERON, EVA AV. Y ESCALADA, AV.",PARQUE AVELLANEDA,9.0,858.057,20.0,,,,,
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV. E/ ACOSTA, MARIANO - LAFUENTE, AV. - QUIRNO Y PERON, EVA, AV.",FLORES,7.0,94.883,9996.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,2779.138,9900.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,511.565,0.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,925.736,9990.0,,,,,
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,559.375,0.0,,,,,
