nombre,clasificac,ubicacion,barrio,comuna,area,perimeter
ESCUELA SCALABRINI ORTIZ,PLAZOLETA,"CONDE - MATIENZO, BENJAMIN, TTE. - FREIRE, RAMON, CAP. GRAL.",COLEGIALES,13.0,1658.266,0.0
,PLAZOLETA,"CONDE - MATIENZO, BENJAMIN, TTE. - FREIRE, RAMON, CAP. GRAL.",COLEGIALES,13.0,3.984,0.0
POLIDEPORTIVO COLEGIALES,PARQUE,"CONDE - MATIENZO, BENJAMIN, TTE. - FREIRE, RAMON, CAP. GRAL.",COLEGIALES,13.0,4686.06,0.0
,PLAZOLETA,"GUIRALDES, INTENDENTE - ESTACIONAMIENTO - PARQUE BALNEARIO NORTE - ESTACIONAMIENTO",BELGRANO,13.0,3746.965,100.0
PLAZA RAFAEL HERNANDEZ,PLAZA,"ECHEVERRIA - VUELTA DE OBLIGADO - MOM, POLICARPO",BELGRANO,13.0,558.986,9990.0
PLAZA PQUES. NACIONALES ARGENTINOS,PLAZA,"ECHEVERRIA - CASTAÑEDA - SUCRE, ANTONIO J. DE, MCAL. - FIGUEROA ALCORTA PRES., AV.",BELGRANO,13.0,12169.958,1000.0
,PLAZOLETA,"DEL LIBERTADOR, AV. - SARMIENTO, AV. (FRENTE MONUMENTO A LOS ESPA¤OLES)",PALERMO,14.0,28.385,2.0
,PLAZOLETA,"DEL LIBERTADOR, AV. - SARMIENTO, AV. (FRENTE MONUMENTO A LOS ESPA¤OLES)",PALERMO,14.0,47.483,9997.0
REPUBLICA DE MONTENEGRO,PLAZOLETA,"DEL LIBERTADOR, AV. - SARMIENTO, AV. (FRENTE MONUMENTO A LOS ESPA¤OLES)",PALERMO,14.0,164.612,9990.0
ING. G. AVE LALLEMANT,CANTERO CENTRAL,"GARCIA DEL RIO, AV.  E/ VIDAL Y CRAMER",SAAVEDRA,12.0,1948.256,100.0
,CANTERO CENTRAL,"RUIZ, HUIDOBRO AV. E/ MILLER Y BALBIN, RICARDO, DR., AV.",SAAVEDRA,12.0,26.654,0.0
,PLAZOLETA,"BALBIN, RICARDO, DR., AV. - FOREST, AV. - JARAMILLO",SAAVEDRA,12.0,116.91,0.0
PASEO DE LA REPUBLICA POPULAR DE CHINA,CANTERO CENTRAL,"RUIZ, HUIDOBRO AV. E/  ACHA, MARIANO Y LUGONES",SAAVEDRA,12.0,984.5,0.0
,CANTERO CENTRAL,"SAN JUAN BAUTISTA DE LA SALLE,  E/ PERON, EVA AV. Y ESCALADA, AV.",PARQUE AVELLANEDA,9.0,858.057,20.0
IRMA CARRICA,CANTERO CENTRAL,"SAN JUAN BAUTISTA DE LA SALLE,  E/ PERON, EVA AV. Y ESCALADA, AV.",PARQUE AVELLANEDA,9.0,1126.353,148.15200000000004
PLAZA BARRIO MARCELO T DE ALVEAR,PLAZA,"DIRECTORIO, AV.  - OLIVERA, AV.  - RODO, JOSE E. - FERNANDEZ (BARRIO MARCELO T. DE ALVEAR)",PARQUE AVELLANEDA,9.0,36221.71,0.0
ELOY ALFARO,PLAZOLETA,"DEL LIBERTADOR, AV. - MIGUELETES - GARCIA, TEODORO",PALERMO,14.0,36.355,9997.0
TRIC Y TRAKE,CANTERO CENTRAL,"CHORROARIN, AV. E/ GIRARDOT Y MONTENEGRO (SUR)",VILLA ORTUZAR,15.0,96.001,0.0
JORGE N. WILLIAMS,PLAZOLETA,"LOZANO, PEDRO - HELGUERA - GUTIERREZ, RICARDO",VILLA DEL PARQUE,11.0,1311.829,0.0
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV. E/ ACOSTA, MARIANO - LAFUENTE, AV. - QUIRNO Y PERON, EVA, AV.",FLORES,7.0,94.883,9996.0
PLAZA TUPAC AMARU,PLAZA,"SAN PEDRITO, AV. - PERON, EVA, AV. - PRIMERA JUNTA (D) - LAFUENTE, AV.",FLORES,7.0,2342.979,20.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,2779.138,9900.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,511.565,0.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,925.736,9990.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,559.375,0.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,1724.15,100.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,845.0830000000002,9970.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,774.2860000000002,9940.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,287.327,0.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,858.3839999999999,10.0
MARTIN BONEO Y VILLALONGA,CANTERO CENTRAL,"SAN JUAN BAUTISTA DE LA SALLE,  E/ DELLEPIANE, LUIS J., TTE. GRAL., AV. Y PERON, EVA AV.",PARQUE AVELLANEDA,9.0,2905.175,486.146
,CANTERO CENTRAL,"SANTIAGO DE COMPOSTELA, AV. E/ ZINNY Y FERNANDEZ",PARQUE AVELLANEDA,9.0,711.628,40.0
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV. E/ LACARRA, AV. Y ACOSTA, MARIANO",FLORES,7.0,1116.175,0.0
,CANTERO CENTRAL,"DELLEPIANE, LUIS J., TTE. GRAL., AV. E/ LACARRA, AV. Y ACOSTA, MARIANO",FLORES,7.0,8172.571,9900.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,2112.236,9900.0
PLAZA IRLANDA,PLAZA,"GAONA, AV. - ALVAREZ, DONATO, TTE. GRAL., AV. - NEUQUEN - SEGUI, F.J., ALMTE.",CABALLITO,6.0,32359.873,0.0
,CANTERO CENTRAL,"ROCA, CNEL., AV.  E/ PORTELA Y PAZ, GRAL., AV (FALTA RELEVAR COMO SE CRUZAN LAS CALLES A FIN DE ESTABLECER LIMITES DE CANTEROS)",VILLA SOLDATI,8.0,9.456,0.0
